Cod_setor,Situacao_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,V013,V014,V015,V016,V017,V018,V019,V020,V021,V022,V023,V024,V025,V026,V027,V028,V029,V030,V031,V032,V033,V034,V035,V036,V037,V038,V039,V040,V041,V042,V043,V044,V045,V046,V047,V048,V049,V050,V051,V052,V053,V054,V055,V056,V057,V058,V059,V060,V061,V062,V063,V064,V065,V066,V067,V068,V069,V070,V071,V072,V073,V074,V075,V076,V077,V078,V079,V080,V081,V082,V083,V084,V085,V086,V087,V088,V089,V090,V091,V092,V093,V094,V095,V096,V097,V098,V099,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134
230010105000023,8,243,243,82,14,87,28,2,1,3,3,15,0,1,0,7,0,0,0,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0,0,4,3,4,9,5,5,5,4,6,5,6,4,9,2,7,6,4,8,6,5,4,3,6,4,5,2,2,3,2,3,6,6,6,2,3,6,2,3,4,4,1,3,3,4,3,0,2,1,2,2,2,1,2,1,0,0,1,1,2,0,4,2,2,0,0,1,3,4,1,2,0,0,1,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
230010105000024,8,39,39,15,2,14,3,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3,0,3,0,2,1,0,1,0,1,0,2,1,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,2,0,2,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010105000025,8,201,201,73,10,88,10,0,0,0,2,3,3,4,0,7,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,2,3,4,1,3,3,4,6,5,2,5,7,3,4,4,7,3,2,2,6,2,7,3,3,5,1,3,0,3,5,4,0,4,3,3,2,2,3,3,11,1,3,2,3,2,3,1,2,2,3,0,2,0,1,2,2,0,2,3,3,1,0,0,0,1,0,3,2,0,3,1,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
230010105000026,8,11,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
230010120000001,1,195,191,52,44,67,15,0,2,1,1,6,0,2,0,5,0,0,0,0,0,0,4,0,0,1,0,0,1,2,0,0,0,0,0,5,5,5,1,1,1,1,5,1,4,1,4,3,6,7,6,2,1,2,1,2,1,6,4,1,4,4,2,5,3,1,2,7,2,2,5,5,4,3,3,3,1,3,1,3,1,4,0,0,0,1,1,0,3,4,2,0,4,1,4,1,1,2,2,2,2,1,1,1,1,1,0,1,0,2,0,2,1,0,0,0,0,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
230010120000002,8,232,232,38,48,70,33,0,6,1,2,26,2,1,0,1,2,0,0,0,2,0,3,0,0,0,1,0,0,0,1,0,1,0,0,10,4,1,4,4,3,4,6,5,8,7,2,5,6,3,4,2,7,3,2,3,6,6,2,5,5,4,5,4,4,4,4,0,4,5,2,0,3,4,6,2,3,3,2,3,1,1,0,2,2,1,1,3,4,0,1,2,0,1,5,0,1,2,2,1,2,1,0,1,2,0,0,1,1,3,0,1,1,2,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
230010120000003,8,343,343,146,15,140,19,1,2,2,1,11,0,1,0,4,0,1,0,0,0,0,10,0,0,3,3,0,0,0,1,0,1,1,1,5,4,7,3,6,4,8,9,3,5,4,7,11,7,7,8,9,8,1,4,4,10,10,13,6,12,9,5,4,6,8,8,3,6,2,2,3,6,3,1,1,1,1,2,5,4,2,0,0,4,3,3,4,4,2,3,9,2,4,3,0,6,2,1,3,1,1,2,1,0,2,0,1,2,1,0,3,1,3,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010120000004,8,424,419,183,3,150,50,2,1,0,0,26,0,3,0,4,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,1,5,3,8,9,6,5,5,14,8,8,14,15,10,12,10,11,15,7,7,1,6,6,6,11,11,8,5,3,5,4,5,10,11,3,5,6,7,3,3,7,4,6,1,2,3,4,5,2,5,4,7,4,2,5,1,2,1,8,2,1,4,2,0,3,5,3,2,1,2,1,1,0,2,4,3,4,0,2,0,5,4,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
230015005000001,1,224,224,46,57,50,25,1,2,7,0,10,0,15,1,9,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,1,0,0,2,3,4,3,3,4,3,1,5,0,3,5,5,5,1,3,6,6,4,6,4,5,0,6,5,4,2,3,6,7,3,2,3,4,3,3,2,4,5,0,3,2,0,3,2,4,0,3,2,4,2,6,0,5,2,1,0,1,2,4,4,1,2,1,1,2,1,2,2,2,2,3,2,0,0,0,0,2,0,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
230015005000002,1,296,296,101,27,89,38,3,3,1,0,15,0,12,1,6,0,0,0,0,0,0,8,0,1,1,0,0,0,2,0,1,0,2,1,1,3,5,3,7,5,4,5,6,4,5,6,5,17,8,5,8,7,8,7,2,7,5,5,5,4,14,4,3,4,6,8,4,2,8,1,1,7,3,6,5,0,7,5,2,4,5,2,5,1,0,2,1,2,0,1,2,4,1,3,2,0,1,2,1,2,0,1,1,0,0,0,0,3,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230015005000003,1,307,307,79,35,71,74,0,6,0,0,34,0,2,0,2,4,0,0,0,0,0,10,0,1,1,2,0,1,0,2,0,0,2,1,6,4,8,5,6,5,9,8,8,4,9,9,8,10,10,9,13,10,4,5,6,6,9,4,3,4,5,5,2,4,1,6,5,2,2,8,4,4,3,6,2,4,0,3,5,0,4,1,1,2,3,1,2,0,3,2,1,1,1,0,3,1,0,0,0,2,1,2,1,1,0,0,0,2,2,0,3,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
230015005000004,1,349,349,124,37,97,45,5,2,1,0,22,0,6,0,6,0,4,0,0,0,0,5,1,1,2,0,0,0,0,0,1,0,0,0,2,8,4,9,5,5,3,5,2,7,7,5,6,10,7,4,7,13,6,12,4,5,6,8,9,3,9,7,7,7,4,6,2,7,0,5,8,4,4,2,5,2,9,6,6,4,3,6,5,6,6,2,2,4,2,5,2,2,4,2,1,0,3,3,0,3,1,0,1,5,2,1,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
230015005000005,1,595,595,175,81,193,71,17,10,1,0,36,0,4,0,5,1,1,0,0,0,0,12,1,3,1,1,1,1,0,0,1,1,2,0,16,5,9,14,14,15,9,18,12,13,9,15,16,25,14,13,14,9,7,10,10,15,11,7,13,10,17,11,16,8,9,13,14,9,12,2,10,4,8,6,4,10,3,6,8,5,9,8,2,3,6,3,3,4,3,2,3,2,2,3,1,3,2,4,0,1,3,2,2,0,0,0,1,1,1,0,1,1,3,0,1,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
230015005000006,1,167,167,54,27,41,31,3,1,0,0,2,1,2,0,4,1,0,0,0,0,0,5,1,0,0,0,0,0,0,1,2,0,1,0,2,4,2,8,0,9,4,7,1,4,4,2,3,6,3,2,2,5,1,4,3,3,4,8,2,5,3,7,2,1,0,6,2,2,2,3,0,0,1,1,3,1,4,5,2,1,0,1,1,0,0,1,0,2,0,1,0,2,2,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230015005000007,1,289,289,102,15,88,47,4,3,0,1,23,2,2,0,1,0,1,0,0,0,0,8,1,1,0,1,0,1,2,0,2,0,0,0,3,6,3,7,6,4,5,7,7,9,9,5,6,6,10,12,7,10,7,4,4,6,3,5,2,0,0,1,3,7,7,1,4,3,2,2,7,1,6,5,9,4,7,6,4,4,4,1,2,1,2,4,3,1,1,1,2,3,1,1,0,2,0,0,2,0,0,0,0,0,1,4,1,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230015005000008,1,208,208,93,12,56,24,2,4,1,1,10,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,4,4,2,2,4,3,4,2,3,2,0,4,4,5,7,4,2,3,3,1,4,3,5,0,1,3,4,11,2,4,3,0,3,1,5,8,3,3,5,2,6,2,2,5,2,1,4,1,5,1,0,1,2,2,1,1,1,3,2,1,0,1,2,1,0,1,2,5,2,3,0,0,2,0,0,1,0,1,0,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
230015005000009,8,371,371,125,34,124,32,13,4,2,1,31,0,0,0,5,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,1,1,8,7,8,3,2,6,10,6,5,13,4,10,10,12,14,13,7,12,6,5,8,8,7,5,7,5,6,2,4,5,9,5,5,3,10,2,7,3,3,4,3,6,3,3,3,4,6,2,3,2,3,5,5,5,1,3,4,1,2,2,2,1,0,3,3,1,0,1,3,0,1,0,2,1,1,1,0,1,1,4,0,1,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
230015005000010,5,235,235,40,57,69,30,2,2,2,0,21,1,7,0,4,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,1,2,3,6,3,2,3,4,2,4,4,7,4,7,9,6,2,11,8,8,5,6,7,7,8,3,1,6,6,3,0,5,3,1,4,4,5,5,2,0,2,3,3,2,2,4,1,3,3,2,5,3,0,2,1,1,1,0,0,2,1,1,0,1,1,0,1,2,1,1,1,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230015005000011,5,98,98,43,1,39,6,3,1,0,0,3,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,2,2,1,1,4,2,1,1,1,2,3,2,5,1,2,1,3,2,0,1,3,1,1,1,1,4,0,0,3,2,2,1,3,1,3,1,3,2,0,0,0,1,0,1,2,1,0,2,1,1,1,0,0,1,0,0,3,0,1,3,0,2,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
