Cod_setor,Situacao_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,V013,V014,V015,V016,V017,V018,V019,V020,V021,V022,V023,V024,V025,V026,V027,V028,V029,V030,V031,V032,V033,V034,V035,V036,V037,V038,V039,V040,V041,V042,V043,V044,V045,V046,V047,V048,V049,V050,V051,V052,V053,V054,V055,V056,V057,V058,V059,V060,V061,V062,V063,V064,V065,V066,V067,V068,V069,V070,V071,V072,V073,V074,V075,V076,V077,V078,V079,V080,V081,V082,V083,V084,V085,V086,V087,V088,V089,V090,V091,V092,V093,V094,V095,V096,V097,V098,V099,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,
230010105000023,8,247,247,43,70,74,24,1,0,10,3,13,1,2,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,3,4,2,5,8,2,4,10,3,5,6,3,6,8,8,6,5,2,5,3,5,5,6,9,6,9,1,4,4,3,2,2,4,3,1,4,4,1,1,2,4,1,3,2,0,1,1,3,1,1,3,3,0,3,2,5,1,1,0,3,1,3,2,2,1,3,1,0,2,2,2,0,2,2,1,1,0,2,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
230010105000024,8,41,41,5,14,15,3,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,1,0,1,0,0,0,2,1,0,2,0,0,0,1,2,1,1,2,1,2,0,1,0,0,0,0,0,1,0,0,0,0,2,1,1,1,0,0,0,2,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
230010105000025,8,195,195,24,65,80,8,0,1,3,2,8,0,1,0,1,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,2,1,3,2,6,2,4,4,5,3,8,4,7,5,3,2,4,6,5,5,3,5,2,2,6,0,2,3,5,1,1,3,3,3,3,4,5,1,1,3,4,3,2,2,1,1,1,1,0,2,2,2,0,0,0,2,0,1,2,1,0,2,2,3,4,2,1,3,1,2,3,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
230010105000026,8,9,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
230010120000001,1,217,213,73,47,50,17,2,1,3,0,9,0,2,2,6,2,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,4,2,7,5,2,2,1,1,1,2,4,0,5,4,4,6,1,5,8,4,2,1,4,4,1,3,3,5,3,1,9,2,4,3,3,2,4,3,2,1,4,0,2,1,6,3,1,0,3,1,3,1,1,5,3,3,4,0,2,0,2,2,5,1,3,2,3,2,1,1,2,1,1,1,1,1,2,1,0,3,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,
230010120000002,8,246,246,79,32,70,17,1,3,4,5,23,2,5,0,0,2,1,0,1,1,0,4,0,0,0,0,0,0,1,2,0,1,0,0,1,2,7,7,9,7,1,2,3,5,4,4,5,3,3,3,5,5,4,1,2,4,6,5,3,1,1,6,4,10,5,5,5,1,5,2,1,0,2,4,2,0,0,5,0,4,3,1,2,4,3,2,6,2,3,2,0,2,3,2,4,3,2,0,2,2,1,0,3,2,0,1,1,1,1,1,0,2,1,1,1,1,3,3,2,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,
230010120000003,8,331,331,33,132,135,14,0,0,3,0,6,0,2,0,4,1,1,0,0,0,0,6,0,1,1,2,0,0,0,0,0,1,0,1,6,6,9,11,4,8,6,3,6,6,7,8,3,8,8,3,7,10,10,8,10,12,6,3,8,2,11,5,6,4,2,5,6,2,4,4,1,2,2,4,2,3,7,2,3,1,3,2,3,3,2,4,3,5,5,3,2,3,1,0,1,3,3,1,2,2,2,1,1,1,1,2,3,0,1,1,0,0,2,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,
230010120000004,8,432,429,54,165,133,40,4,2,1,1,18,0,8,0,6,0,0,0,0,0,0,6,0,1,0,0,0,2,0,0,1,0,1,1,7,8,10,6,4,6,9,7,11,8,10,12,4,13,2,7,1,6,1,3,7,6,6,13,9,7,8,10,9,12,7,8,2,6,9,9,8,1,3,2,3,7,7,6,5,5,1,8,4,5,6,0,6,8,2,5,3,3,4,4,3,6,1,3,0,4,0,2,2,1,0,7,1,3,2,2,0,4,1,3,3,1,0,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,
230015005000001,1,259,259,94,30,56,19,1,5,18,0,15,0,8,3,9,1,0,0,0,0,0,3,0,1,1,0,0,1,0,0,0,0,0,0,1,4,2,5,2,1,3,4,8,4,5,5,6,5,4,4,5,5,4,7,2,2,4,4,5,4,3,4,7,5,4,5,2,3,2,4,7,3,5,3,6,1,2,1,2,3,2,4,4,4,2,4,3,2,2,3,0,2,2,3,3,0,3,1,1,0,2,3,0,4,2,2,1,3,1,0,1,2,1,1,1,3,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,
230015005000002,1,321,321,64,87,95,36,1,3,6,0,18,0,4,1,6,0,0,0,0,0,0,5,2,0,1,0,0,1,0,1,0,0,0,0,2,3,9,10,5,3,7,4,10,6,7,11,5,12,9,5,10,5,5,5,11,2,9,7,6,5,3,2,6,11,1,5,1,3,3,7,5,9,4,9,2,0,3,2,3,2,2,3,6,3,3,3,5,2,0,1,1,4,0,2,3,3,0,3,0,0,0,2,2,2,2,0,1,3,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
