CD_GEOCODB,Total_HH_inc_in_CT_bairro_sum,Lit_grtr_5yrs_bairro_sum,Total_no_HH_in_CT_bairro_sum,PPH_Wtr_Spply_Ntwrk_bairro_sum,PPH_Sewerage_Conn_bairro_sum,PPH_Garbage_Col_Serv_bairro_sum,PPH_Elec_bairro_sum,Total_pop_branca_bairro_sum,Total_pop_preta_bairro_sum,Total_pop_amarela_bairro_sum,Total_pop_parda_bairro_sum,Total_pop_indigena_bairro_sum,Total_pop_bairro_sum,Lit_rate,Mean_HH_inc,Perc_Wtr_Spply_Ntwrk,Perc_Sewerage_Conn,Perc_Garbage_Col_Serv,Perc_PPH_Elec,Perc_branca,Perc_preta,Perc_amarela,Perc_parda,Perc_indigena
230440065054,25051619,16709,5409,4747,439,4994,5331,9267,464,211,8305,9,18256,0.915260736196319,4631.469587724164,0.8776113884266963,0.08116102791643558,0.9232760214457386,0.985579589572934,0.50761393514461,0.025416301489921123,0.011557843996494304,0.45491893076248907,4.92988606485539e-4
230440065055,3379517,6050,2038,1928,475,2023,2033,2667,377,78,4062,4,7188,0.8416805787423484,1658.2517173699705,0.9460255152109912,0.23307163886162904,0.992639842983317,0.9975466143277724,0.3710350584307179,0.05244852531997774,0.010851419031719533,0.5651085141903172,5.564830272676684e-4
230440065056,3216884,6395,2100,2000,58,1985,2094,1593,483,33,5527,0,7636,0.8374803562074384,1531.8495238095238,0.9523809523809523,0.02761904761904762,0.9452380952380952,0.9971428571428571,0.20861707700366683,0.06325301204819277,0.004321634363541121,0.7238082765845992,0
230440065057,17889053,19672,5912,5273,1280,4839,5898,6819,1026,278,14075,12,22210,0.8857271499324628,3025.888531799729,0.891914749661705,0.2165087956698241,0.8185047361299053,0.9976319350473613,0.3070238631247186,0.04619540747411076,0.012516884286357497,0.6337235479513732,5.40297163439892e-4
230440065058,20426841,13706,4495,4136,1317,4263,4464,7194,568,224,7496,61,15543,0.8818117480537863,4544.347274749722,0.9201334816462736,0.29299221357063404,0.9483870967741935,0.993103448275862,0.46284501061571126,0.036543781766711705,0.01441163224602715,0.48227497909026573,0.00392459628128418
230440065059,3478639,5716,1855,1831,259,1798,1850,2405,548,115,3597,3,6668,0.8572285542891421,1875.277088948787,0.9870619946091644,0.13962264150943396,0.9692722371967655,0.9973045822102425,0.3606778644271146,0.08218356328734253,0.017246550689862028,0.5394421115776845,4.4991001799640074e-4
230440065060,16240204,4836,1546,1371,314,1525,1546,3118,80,50,2017,1,5266,0.9183440941891379,10504.659767141009,0.8868046571798189,0.20310478654592498,0.9864165588615783,1,0.5921002658564375,0.015191796429927839,0.0094948727687049,0.3830231674895556,1.8989745537409798e-4
230440065061,18484008,47876,15619,15339,9953,14764,15560,17820,2974,504,35333,57,56688,0.8445526390064917,1183.430949484602,0.9820731160765734,0.6372366988923747,0.9452589794481081,0.9962225494589922,0.31435224386113464,0.052462602314422804,0.008890770533446233,0.6232888794806661,0.0010055038103302285
230440065062,11865576,23810,8306,8017,5359,8205,8263,9657,1505,483,17873,53,29571,0.8051807514118562,1428.5547796773417,0.9652058752708885,0.645196243679268,0.9878401155790995,0.994823019503973,0.3265699502891346,0.05089445740759528,0.016333570051739882,0.6044097257448175,0.0017922965067126576
230440065063,12733127,23088,7975,7172,2069,7492,7916,8751,1422,201,17556,19,27949,0.8260760671222585,1596.6303448275862,0.8993103448275862,0.259435736677116,0.939435736677116,0.9926018808777429,0.3131060145264589,0.0508783856309707,0.007191670542774339,0.628144119646499,6.798096532970768e-4
