"","Cod_setor","age_sex_group","population"
"335","230440005060785","M_64more",16
"336","230440005060785","F_14less",124
"337","230440005060785","F_15_24",123
"338","230440005060785","F_25_44",159
"339","230440005060785","F_45_64",86
"340","230440005060785","F_64more",24
"341","230440005060786","M_14less",122
"342","230440005060786","M_15_24",85
"343","230440005060786","M_25_44",129
"344","230440005060786","M_45_64",61
"345","230440005060786","M_64more",14
"346","230440005060786","F_14less",112
"347","230440005060786","F_15_24",73
"348","230440005060786","F_25_44",137
"349","230440005060786","F_45_64",71
"350","230440005060786","F_64more",15
"351","230440005060787","M_14less",115
"352","230440005060787","M_15_24",58
"353","230440005060787","M_25_44",112
"354","230440005060787","M_45_64",56
"355","230440005060787","M_64more",13
"356","230440005060787","F_14less",115
"357","230440005060787","F_15_24",63
"358","230440005060787","F_25_44",112
"359","230440005060787","F_45_64",46
"360","230440005060787","F_64more",8
"361","230440005060788","M_14less",83
"362","230440005060788","M_15_24",64
"363","230440005060788","M_25_44",155
"364","230440005060788","M_45_64",92
"365","230440005060788","M_64more",48
"366","230440005060788","F_14less",80
"367","230440005060788","F_15_24",99
"368","230440005060788","F_25_44",182
"369","230440005060788","F_45_64",124
"370","230440005060788","F_64more",103
"371","230440005060789","M_14less",53
"372","230440005060789","M_15_24",51
"373","230440005060789","M_25_44",103
"374","230440005060789","M_45_64",63
"375","230440005060789","M_64more",42
"376","230440005060789","F_14less",49
"377","230440005060789","F_15_24",64
"378","230440005060789","F_25_44",110
"379","230440005060789","F_45_64",101
"380","230440005060789","F_64more",56
"381","230440005060790","M_14less",90
"382","230440005060790","M_15_24",96
"383","230440005060790","M_25_44",157
"384","230440005060790","M_45_64",100
"385","230440005060790","M_64more",35
"386","230440005060790","F_14less",124
"387","230440005060790","F_15_24",111
"388","230440005060790","F_25_44",198
"389","230440005060790","F_45_64",131
"390","230440005060790","F_64more",59
"391","230440005060791","M_14less",43
"392","230440005060791","M_15_24",60
"393","230440005060791","M_25_44",80
"394","230440005060791","M_45_64",51
"395","230440005060791","M_64more",23
"396","230440005060791","F_14less",47
"397","230440005060791","F_15_24",69
"398","230440005060791","F_25_44",108
"399","230440005060791","F_45_64",85
"400","230440005060791","F_64more",28
"401","230440005060792","M_14less",86
"402","230440005060792","M_15_24",72
"403","230440005060792","M_25_44",167
"404","230440005060792","M_45_64",71
"405","230440005060792","M_64more",25
"406","230440005060792","F_14less",107
"407","230440005060792","F_15_24",86
"408","230440005060792","F_25_44",172
"409","230440005060792","F_45_64",93
"410","230440005060792","F_64more",40
"411","230440005060793","M_14less",64
"412","230440005060793","M_15_24",42
"413","230440005060793","M_25_44",78
"414","230440005060793","M_45_64",51
"415","230440005060793","M_64more",18
"416","230440005060793","F_14less",45
"417","230440005060793","F_15_24",40
"418","230440005060793","F_25_44",90
"419","230440005060793","F_45_64",56
"420","230440005060793","F_64more",26
"421","230440005060794","M_14less",95
"422","230440005060794","M_15_24",74
"423","230440005060794","M_25_44",136
"424","230440005060794","M_45_64",69
"425","230440005060794","M_64more",18
"426","230440005060794","F_14less",83
"427","230440005060794","F_15_24",98
"428","230440005060794","F_25_44",138
"429","230440005060794","F_45_64",86
"430","230440005060794","F_64more",35
"431","230440005060795","M_14less",58
"432","230440005060795","M_15_24",34
"433","230440005060795","M_25_44",67
"434","230440005060795","M_45_64",50
"435","230440005060795","M_64more",10
"436","230440005060795","F_14less",53
"437","230440005060795","F_15_24",50
"438","230440005060795","F_25_44",87
"439","230440005060795","F_45_64",59
"440","230440005060795","F_64more",18
"441","230440005060796","M_14less",95
"442","230440005060796","M_15_24",81
"443","230440005060796","M_25_44",121
"444","230440005060796","M_45_64",64
"445","230440005060796","M_64more",17
"446","230440005060796","F_14less",79
