ID,CD_GEOCODI,TIPO,CD_GEOCODB,NM_BAIRRO,CD_GEOCODS,NM_SUBDIST,CD_GEOCODD,NM_DISTRIT,CD_GEOCODM,NM_MUNICIP,NM_MICRO,NM_MESO,TIPO_NEW,CD_GEOCODB_NEW,NM_BAIRRO_NEW,CD_GEOCODS_NEW,NM_SUBDIST_NEW,CD_GEOCODD_NEW,NM_DISTRIT_NEW,CD_GEOCODM_NEW,NM_MUNICIP_NEW,NM_MICRO_NEW,NM_MESO_NEW
14463,230440070100132,URBAN,230440070076,Conjunto Esperanca,23044007010,CONJUNTO CEARA,230440070,MONDUBIM,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,230440070078,Granja Lisboa,23044007010,CONJUNTO CEARA,230440070,MONDUBIM,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
14339,230440065110487,URBAN,230440065052,Cajazeiras,23044006511,MESSEJANA,230440065,MESSEJANA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,230440065051,Barroso,23044006511,MESSEJANA,230440065,MESSEJANA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
14360,230440065110508,URBAN,230440065118,Conjunto Palmeiras,23044006511,MESSEJANA,230440065,MESSEJANA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,230440065061,Jangurussu,23044006511,MESSEJANA,230440065,MESSEJANA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
14359,230440065110507,URBAN,230440065118,Conjunto Palmeiras,23044006511,MESSEJANA,230440065,MESSEJANA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,230440065061,Jangurussu,23044006511,MESSEJANA,230440065,MESSEJANA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
14358,230440065110506,URBAN,230440065118,Conjunto Palmeiras,23044006511,MESSEJANA,230440065,MESSEJANA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,230440065061,Jangurussu,23044006511,MESSEJANA,230440065,MESSEJANA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
14357,230440065110505,URBAN,230440065118,Conjunto Palmeiras,23044006511,MESSEJANA,230440065,MESSEJANA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,230440065061,Jangurussu,23044006511,MESSEJANA,230440065,MESSEJANA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
14356,230440065110504,URBAN,230440065118,Conjunto Palmeiras,23044006511,MESSEJANA,230440065,MESSEJANA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,230440065061,Jangurussu,23044006511,MESSEJANA,230440065,MESSEJANA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
14140,230440065110173,URBAN,230440065119,Sao Bento,23044006511,MESSEJANA,230440065,MESSEJANA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,230440065068,Paupina,23044006511,MESSEJANA,230440065,MESSEJANA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
14348,230440065110496,URBAN,230440065119,Sao Bento,23044006511,MESSEJANA,230440065,MESSEJANA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,230440065068,Paupina,23044006511,MESSEJANA,230440065,MESSEJANA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
12354,230428505000053,URBAN,,,23042850500,,230428505,EUSEBIO,2304285,EUSEBIO,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,230440065070,Sabiaguaba,23044006511,MESSEJANA,230440065,MESSEJANA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
14209,230440065110242,URBAN,230440065061,Jangurussu,23044006511,MESSEJANA,230440065,MESSEJANA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,230440065118,Conjunto Palmeiras,23044006511,MESSEJANA,230440065,MESSEJANA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
